date,country,ISO_2
2017-02-20,United States,US
2017-02-26,Norway,NO
2017-02-26,Sweden,SE
2017-02-27,Argentina,AR
2017-02-28,Argentina,AR
2017-02-28,Brazil,BR
2017-03-01,Brazil,BR
2017-03-05,Norway,NO
2017-03-05,Sweden,SE
2017-03-08,Belarus,BY
2017-03-08,Ukraine,UA
2017-03-12,Norway,NO
2017-03-12,Sweden,SE
2017-03-15,Hungary,HU
2017-03-17,Ireland,IE
2017-03-17,Northern Ireland,None
2017-03-17,United Kingdom,GB
2017-03-19,Norway,NO
2017-03-19,Sweden,SE
2017-03-20,Colombia,CO
2017-03-20,Japan,JP
2017-03-20,Mexico,MX
2017-03-21,Mexico,MX
2017-03-21,South Africa,ZA
2017-03-24,Argentina,AR
2017-03-26,Norway,NO
2017-03-26,Sweden,SE
2017-04-02,Argentina,AR
2017-04-02,Norway,NO
2017-04-02,Sweden,SE
2017-04-09,Denmark,DK
2017-04-09,Norway,NO
2017-04-09,Sweden,SE
2017-04-13,Argentina,AR
2017-04-13,Colombia,CO
2017-04-13,Denmark,DK
2017-04-13,Norway,NO
2017-04-14,Argentina,AR
2017-04-14,Australia,AU
2017-04-14,Brazil,BR
2017-04-14,Canada,CA
2017-04-14,Colombia,CO
2017-04-14,Czech,CZ
2017-04-14,Denmark,DK
2017-04-14,England,None
2017-04-14,Finland,FI
2017-04-14,Germany,DE
2017-04-14,Hungary,HU
2017-04-14,Isle of Man,IM
2017-04-14,Netherlands,NL
2017-04-14,New Zealand,NZ
2017-04-14,Northern Ireland,None
2017-04-14,Norway,NO
2017-04-14,Portugal,PT
2017-04-14,Scotland,None
2017-04-14,South Africa,ZA
2017-04-14,Sweden,SE
2017-04-14,Switzerland,CH
2017-04-14,United Kingdom,GB
2017-04-14,Wales,None
2017-04-16,Argentina,AR
2017-04-16,Belgium,BE
2017-04-16,Brazil,BR
2017-04-16,Croatia,HR
2017-04-16,Denmark,DK
2017-04-16,Finland,FI
2017-04-16,Hungary,HU
2017-04-16,Italy,IT
2017-04-16,Netherlands,NL
2017-04-16,Norway,NO
2017-04-16,Poland,PL
2017-04-16,Portugal,PT
2017-04-16,Sweden,SE
2017-04-16,Switzerland,CH
2017-04-16,Ukraine,UA
2017-04-17,Australia,AU
2017-04-17,Austria,AT
2017-04-17,Belgium,BE
2017-04-17,Croatia,HR
2017-04-17,Czech,CZ
2017-04-17,Denmark,DK
2017-04-17,England,None
2017-04-17,Finland,FI
2017-04-17,France,FR
2017-04-17,Germany,DE
2017-04-17,Hungary,HU
2017-04-17,Ireland,IE
2017-04-17,Isle of Man,IM
2017-04-17,Italy,IT
2017-04-17,Netherlands,NL
2017-04-17,New Zealand,NZ
2017-04-17,Northern Ireland,None
2017-04-17,Norway,NO
2017-04-17,Poland,PL
2017-04-17,Slovenia,SI
2017-04-17,South Africa,ZA
2017-04-17,Sweden,SE
2017-04-17,Switzerland,CH
2017-04-17,United Kingdom,GB
2017-04-17,Wales,None
2017-04-21,Brazil,BR
2017-04-23,Norway,NO
2017-04-23,Sweden,SE
2017-04-25,Australia,AU
2017-04-25,Belarus,BY
2017-04-25,Italy,IT
2017-04-25,New Zealand,NZ
2017-04-25,Portugal,PT
2017-04-27,Netherlands,NL
2017-04-27,Slovenia,SI
2017-04-27,South Africa,ZA
2017-04-29,Japan,JP
2017-04-30,Norway,NO
2017-04-30,Sweden,SE
2017-05-01,Argentina,AR
2017-05-01,Austria,AT
2017-05-01,Belarus,BY
2017-05-01,Belgium,BE
2017-05-01,Brazil,BR
2017-05-01,Colombia,CO
2017-05-01,Croatia,HR
2017-05-01,Czech,CZ
2017-05-01,England,None
2017-05-01,Finland,FI
2017-05-01,France,FR
2017-05-01,Germany,DE
2017-05-01,Hungary,HU
2017-05-01,India,IN
2017-05-01,Ireland,IE
2017-05-01,Isle of Man,IM
2017-05-01,Italy,IT
2017-05-01,Mexico,MX
2017-05-01,Northern Ireland,None
2017-05-01,Norway,NO
2017-05-01,Poland,PL
2017-05-01,Portugal,PT
2017-05-01,Scotland,None
2017-05-01,Slovenia,SI
2017-05-01,South Africa,ZA
2017-05-01,Spain,ES
2017-05-01,Sweden,SE
2017-05-01,Ukraine,UA
2017-05-01,United Kingdom,GB
2017-05-01,Wales,None
2017-05-02,Slovenia,SI
2017-05-02,Ukraine,UA
2017-05-03,Japan,JP
2017-05-03,Poland,PL
2017-05-04,Japan,JP
2017-05-05,Japan,JP
2017-05-07,Norway,NO
2017-05-07,Sweden,SE
2017-05-08,Czech,CZ
2017-05-08,France,FR
2017-05-09,Belarus,BY
2017-05-09,Ukraine,UA
2017-05-12,Denmark,DK
2017-05-14,Norway,NO
2017-05-14,Sweden,SE
2017-05-17,Norway,NO
2017-05-21,Norway,NO
2017-05-21,Sweden,SE
2017-05-22,Canada,CA
2017-05-25,Argentina,AR
2017-05-25,Austria,AT
2017-05-25,Belgium,BE
2017-05-25,Denmark,DK
2017-05-25,Finland,FI
2017-05-25,France,FR
2017-05-25,Germany,DE
2017-05-25,Netherlands,NL
2017-05-25,Norway,NO
2017-05-25,Sweden,SE
2017-05-25,Switzerland,CH
2017-05-28,Norway,NO
2017-05-28,Sweden,SE
2017-05-29,Colombia,CO
2017-05-29,England,None
2017-05-29,Isle of Man,IM
2017-05-29,Northern Ireland,None
2017-05-29,Scotland,None
2017-05-29,United Kingdom,GB
2017-05-29,United States,US
2017-05-29,Wales,None
2017-06-02,Isle of Man,IM
2017-06-02,Italy,IT
2017-06-04,Belgium,BE
2017-06-04,Denmark,DK
2017-06-04,Finland,FI
2017-06-04,Hungary,HU
2017-06-04,Netherlands,NL
2017-06-04,Norway,NO
2017-06-04,Poland,PL
2017-06-04,Sweden,SE
2017-06-04,Switzerland,CH
2017-06-04,Ukraine,UA
2017-06-05,Austria,AT
2017-06-05,Belgium,BE
2017-06-05,Denmark,DK
2017-06-05,France,FR
2017-06-05,Germany,DE
2017-06-05,Hungary,HU
2017-06-05,Ireland,IE
2017-06-05,Netherlands,NL
2017-06-05,New Zealand,NZ
2017-06-05,Norway,NO
2017-06-05,Switzerland,CH
2017-06-06,Sweden,SE
2017-06-10,Portugal,PT
2017-06-11,Norway,NO
2017-06-11,Sweden,SE
2017-06-15,Austria,AT
2017-06-15,Brazil,BR
2017-06-15,Croatia,HR
2017-06-15,Poland,PL
2017-06-15,Portugal,PT
2017-06-16,South Africa,ZA
2017-06-17,Argentina,AR
2017-06-18,Norway,NO
2017-06-18,Sweden,SE
2017-06-19,Colombia,CO
2017-06-20,Argentina,AR
2017-06-22,Croatia,HR
2017-06-23,Finland,FI
2017-06-23,Sweden,SE
2017-06-24,Finland,FI
2017-06-24,Sweden,SE
2017-06-25,Croatia,HR
2017-06-25,Norway,NO
2017-06-25,Slovenia,SI
2017-06-25,Sweden,SE
2017-06-26,Colombia,CO
2017-06-28,Ukraine,UA
2017-07-01,Canada,CA
2017-07-02,Norway,NO
2017-07-02,Sweden,SE
2017-07-03,Belarus,BY
2017-07-03,Canada,CA
2017-07-03,Colombia,CO
2017-07-04,United States,US
2017-07-05,Czech,CZ
2017-07-05,Isle of Man,IM
2017-07-06,Czech,CZ
